"GEOID","pasture_2001","pasture_2011","pasture_2021"
"29111",0.266775250434875,0.230782613158226,0.209223955869675
"29069",0.0171452835202217,0.0174126178026199,0.0169827006757259
"29137",0.309439390897751,0.298579454421997,0.277008175849915
"29095",0.240096151828766,0.221526458859444,0.203819811344147
"29215",0.360872834920883,0.366547167301178,0.37186324596405
"29001",0.502230107784271,0.487678736448288,0.45505490899086
"29189",0.0297651067376137,0.0258304718881845,0.023651659488678
"29033",0.337054312229156,0.308622032403946,0.288839995861053
"29143",4.78888614452444e-05,0.000159130693646148,0.000329235917888582
"29029",0.186481416225433,0.189562886953354,0.191865250468254
